rating,reviews_count,cuisine_type,price,is_sponsored
"4,2",2720,"Французская, Американская",$$ - $$$,False
"4,1",474,"Американская, Бар",$$ - $$$,False
"4,4",328,"Итальянская, Пицца",$$ - $$$,False
"3,9",52,"Итальянская, Пицца",$,False
"4,3",726,"Итальянская, Американская",$,False
"4,3",704,Латиноамериканская,$$ - $$$,False
"4,4",727,"Стейк-хаус, Морепродукты",$$$$,False
"4,3",243,Итальянская,$$ - $$$,False
"4,5",258,"Японская, Суши",$$ - $$$,False
"4,5",27,"Японская, Азиатская",$$ - $$$,True
"4,2",1012,"Французская, Современная",$$$$,False
"4,4",459,Итальянская,$$ - $$$,False
"4,5",16,"Китайская, Азиатская",$,False
"4,2",416,"Американская, Современная",$$ - $$$,False
"4,4",270,"Азиатская, Корейская",$$ - $$$,False
"4,2",447,"Американская, Закусочная",$,False
"4,0",459,"Французская, Американская",$$ - $$$,False
"4,2",59,"Японская, Морепродукты",$$$$,False
"4,8",44,Итальянская,$$ - $$$,False
"4,5",2,"Французская, Американская",$$$$,False
"4,5",468,"Американская, Современная",$$ - $$$,False
"4,0",995,Французская,$$ - $$$,False
"3,9",19,Индийская,$$$$,False
"4,0",970,"Морепродукты, Греческая",$$ - $$$,False
"4,4",190,"Американская, Кафе",$,False
"4,0",21,"Бары и клубы, Американская",$$ - $$$,True
"4,5",130,"Бары и клубы, Ирландская",$,True
N/A,0,"Азиатская, Тайская",,True
"4,5",19,Японская,$$ - $$$,False
"4,4",116,Кафе,$,False
"4,7",106,"Итальянская, Американская",$$ - $$$,False
"3,8",571,"Средиземноморская, Испанская",$$ - $$$,False
"4,3",165,"Итальянская, Пицца",$$ - $$$,False
"4,1",23628,"Десерты, Американская",$$ - $$$,True
"4,3",861,"Кафе, Фастфуд",$,False
"3,9",45,"Бары и клубы, Бар",$$ - $$$,False
"4,4",30,"Китайская, Азиатская",$$ - $$$,False
"4,5",88,"Морепродукты, Греческая",$$ - $$$,False
"4,2",724,"Итальянская, Европейская",$$ - $$$,False
"4,4",285,"Азиатская, Вьетнамская",$,False
"4,1",946,Американская,$$ - $$$,False
"4,2",863,"Японская, Суши",$$$$,False
